province,avg_monthly_nonfood_2024
Aceh,542298.9452
Sumatera Utara,606687.1505
Sumatera Barat,683125.2877
Riau,738936.2251
Jambi,698833.3457
Sumatera Selatan,577490.4703
Bengkulu,691560.7145
Lampung,544536.7855
Kepulauan Bangka Belitung,863932.1701
Kepulauan Riau,1170437.37
Dki Jakarta,1686257.487
Jawa Barat,829190.1493
Jawa Tengah,624367.6304
Di Yogyakarta,1010682.829
Jawa Timur,667795.5921
Banten,898893.861
Bali,1067777.517
Nusa Tenggara Barat,547068.3165
Nusa Tenggara Timur,434589.1266
Kalimantan Barat,652292.1255
Kalimantan Tengah,755447.7312
Kalimantan Selatan,734091.7131
Kalimantan Timur,1116837.56
Kalimantan Utara,824833.1684
Sulawesi Utara,664509.7592
Sulawesi Tengah,587035.3328
Sulawesi Selatan,646426.2546
Sulawesi Tenggara,623116.0871
Gorontalo,641445.523
Sulawesi Barat,529854.7264
Maluku,636671.8619
Maluku Utara,720763.2969
Papua Barat,806846.1319
Papua Barat Daya,831867.4411
Papua,813501.0513
Papua Selatan,677615.6783
Papua Tengah,600648.738
Papua Pegunungan,570904.3332
