province,density_2021
Aceh,92.0
Sumatera Utara,205.0
Sumatera Barat,133.0
Riau,75.0
Jambi,72.0
Sumatera Selatan,93.0
Bengkulu,102.0
Lampung,262.0
Kepulauan Bangka Belitung,90.0
Kepulauan Riau,258.0
Dki Jakarta,15978.0
Jawa Barat,1379.0
Jawa Tengah,1120.0
Di Yogyakarta,1185.0
Jawa Timur,855.0
Banten,1248.0
Bali,755.0
Nusa Tenggara Barat,290.0
Nusa Tenggara Timur,111.0
Kalimantan Barat,37.0
Kalimantan Tengah,18.0
Kalimantan Selatan,106.0
Kalimantan Timur,30.0
Kalimantan Utara,9.0
Sulawesi Utara,190.0
Sulawesi Tengah,49.0
Sulawesi Selatan,196.0
Sulawesi Tenggara,70.0
Gorontalo,105.0
Sulawesi Barat,86.0
Maluku,40.0
Maluku Utara,41.0
Papua Barat,11.0
Papua Pegunungan,
Papua Barat Daya,14.0
Papua,
Papua Selatan,
Papua Tengah,
