province,gini_2024
Aceh,0.294
Sumatera Utara,0.306
Sumatera Barat,0.287
Riau,0.306
Jambi,0.315
Sumatera Selatan,0.331
Bengkulu,0.343
Lampung,0.301
Kepulauan Bangka Belitung,0.235
Kepulauan Riau,0.357
Dki Jakarta,0.431
Jawa Barat,0.428
Jawa Tengah,0.364
Di Yogyakarta,0.428
Jawa Timur,0.373
Banten,0.359
Bali,0.348
Nusa Tenggara Barat,0.364
Nusa Tenggara Timur,0.316
Kalimantan Barat,0.314
Kalimantan Tengah,0.304
Kalimantan Selatan,0.298
Kalimantan Timur,0.31
Kalimantan Utara,0.259
Sulawesi Utara,0.347
Sulawesi Tengah,0.309
Sulawesi Selatan,0.36
Sulawesi Tenggara,0.365
Gorontalo,0.413
Sulawesi Barat,0.33
Maluku,0.291
Maluku Utara,0.296
Papua Barat,0.385
Papua Barat Daya,0.347
Papua,0.405
Papua Selatan,0.424
Papua Tengah,0.355
Papua Pegunungan,0.346
