province,interest_province
Aceh,59.0
Sumatera Utara,59.0
Sumatera Barat,0.0
Riau,73.0
Jambi,64.0
Sumatera Selatan,66.0
Bengkulu,79.0
Lampung,85.0
Kepulauan Bangka Belitung,67.0
Kepulauan Riau,73.0
Dki Jakarta,69.0
Jawa Barat,65.0
Jawa Tengah,100.0
Di Yogyakarta,86.0
Jawa Timur,67.0
Banten,65.0
Bali,79.0
Nusa Tenggara Barat,59.0
Nusa Tenggara Timur,45.0
Kalimantan Barat,57.0
Kalimantan Tengah,59.0
Kalimantan Selatan,63.0
Kalimantan Timur,67.0
Kalimantan Utara,68.0
Sulawesi Utara,67.0
Sulawesi Tengah,68.0
Sulawesi Selatan,72.0
Sulawesi Tenggara,68.0
Gorontalo,67.0
Sulawesi Barat,74.0
Maluku,0.0
Maluku Utara,53.0
Papua Barat,43.0
Papua Barat Daya,0.0
Papua,54.0
Papua Selatan,0.0
Papua Tengah,0.0
Papua Pegunungan,0.0
