province,ump_2020
Aceh,3165031
Sumatera Utara,2499423
Sumatera Barat,2484041
Riau,2888564
Jambi,2630162
Sumatera Selatan,3043111
Bengkulu,2213604
Lampung,2432002
Kepulauan Bangka Belitung,3230024
Kepulauan Riau,3005460
Dki Jakarta,4276350
Jawa Barat,1810351
Jawa Tengah,1742015
Di Yogyakarta,1704608
Jawa Timur,1768777
Banten,2460997
Bali,2494000
Nusa Tenggara Barat,2183883
Nusa Tenggara Timur,1950000
Kalimantan Barat,2399699
Kalimantan Tengah,2903145
Kalimantan Selatan,2877449
Kalimantan Timur,2981379
Kalimantan Utara,3000804
Sulawesi Utara,3310723
Sulawesi Tengah,2303711
Sulawesi Selatan,3103800
Sulawesi Tenggara,2552015
Gorontalo,2788826
Sulawesi Barat,2678863
Maluku,2604961
Maluku Utara,2721530
Papua Barat,3134600
Papua Barat Daya,0
Papua,3516700
Papua Selatan,0
Papua Tengah,0
Papua Pegunungan,0
