Province,Number of Male Population_0-4,Number of Female Population_0-4,Number of Male Population_5-9,Number of Female Population_5-9,Number of Male Population_10-14,Number of Female Population_10-14,Number of Male Population_15-19,Number of Female Population_15-19,Number of Male Population_20-24,Number of Female Population_20-24,Number of Male Population_25-29,Number of Female Population_25-29,Number of Male Population_30-34,Number of Female Population_30-34,Number of Male Population_35-39,Number of Female Population_35-39,Number of Male Population_40-44,Number of Female Population_40-44,Number of Male Population_45-49,Number of Female Population_45-49,Number of Male Population_50-54,Number of Female Population_50-54,Number of Male Population_55-59,Number of Female Population_55-59,Number of Male Population_60-64,Number of Female Population_60-64,Number of Male Population_65-69,Number of Female Population_65-69,Number of Male Population_70-74,Number of Female Population_70-74,Number of Male Population_75-79,Number of Female Population_75-79,Number of Male Population_80-84,Number of Female Population_80-84,Number of Male Population_85-89,Number of Female Population_85-89,Number of Male Population_90-94,Number of Female Population_90-94,Number of Male Population_95+,Number of Female Population_95+
Aceh,251133,239742,248087,237231,249888,235033,245079,231662,239338,229461,228907,222144,218162,215167,200856,200085,182066,183034,157730,159914,129608,132582,103800,107805,77427,82287,54347,60718,30732,42109,18068,26805,8656,14240,2968,5625,633,1444,78,220
Sumatera Utara,706122,673920,694771,664256,686358,645632,675684,637066,674661,641871,642766,617177,598218,580753,550142,541966,502391,505043,442064,453127,376352,396732,308106,332220,237809,263570,167173,192927,90722,115583,41462,64700,19281,33719,6450,13175,1350,3366,164,512
Sumatera Barat,233807,222894,234570,224032,254481,237175,254358,236828,250012,234107,237862,224280,220839,210018,204625,197216,189423,185872,169968,170138,149537,153974,126166,133239,102367,111779,74956,85423,44040,54669,23310,36282,11233,19716,3867,8018,834,2118,105,334
Riau,312730,297905,308463,294281,296832,278325,290941,274204,288849,276838,280294,270802,271914,265604,255227,248276,239047,229022,208993,197775,171668,158768,135613,124088,96584,87729,64747,59023,28760,27451,15896,15900,7205,7777,2355,2867,483,694,57,100
Jambi,159996,153539,159525,152701,156788,147685,155283,147283,154805,149910,151959,148278,149894,147377,142450,139414,135135,130356,119757,114372,100334,94285,81025,75568,60341,55861,41931,39129,21036,20921,11956,12449,5538,6180,1837,2281,380,546,45,78
Sumatera Selatan,394987,376297,397488,379407,366535,344272,360908,339398,365883,347203,360321,343247,356618,340669,336831,322655,313804,301522,277298,267286,232908,225670,190340,184993,146851,142354,104923,103323,60733,63338,31934,36791,15218,19170,5229,7524,1127,1937,142,298
Bengkulu,89812,85749,88862,85024,89014,83233,88837,83307,89560,85223,87657,83882,85517,82281,80609,77496,75401,72145,66834,63594,56645,53301,46149,43173,34992,32312,24542,23027,13560,13795,6823,8198,3098,3992,1002,1428,200,328,23,45
Lampung,397191,378694,398479,380532,378675,356041,376921,355348,384773,366778,380354,364378,375931,362015,357928,344867,338360,325716,303129,290418,260430,247065,215875,202663,168410,154104,123169,112414,77452,70543,46599,44170,22953,23297,8137,9233,1805,2396,234,371
Kepulauan Bangka Belitung,61368,58424,60122,57330,64871,60929,65256,61321,64276,60998,63843,60363,64832,60725,61695,57276,57838,52835,50667,46167,41313,37816,33182,30687,25094,23807,17629,17178,10106,10437,4516,5559,2088,2858,691,1102,143,276,18,42
Kepulauan Riau,97600,92888,97709,93094,89348,84260,88201,84284,89544,87978,90003,89436,92696,93362,88624,88370,83864,81291,72147,68327,55987,50465,42371,37433,27719,24553,17762,16005,10618,9924,5651,5618,2482,2710,791,994,161,241,18,35
